,open,high,low,close,volume
2017-02-21 21:01:00,3566,3578,3561,3570,91980
2017-02-21 21:02:00,3570,3571,3560,3565,30398
2017-02-21 21:03:00,3566,3566,3562,3564,14918
2017-02-21 21:04:00,3564,3568,3559,3563,18452
2017-02-21 21:05:00,3563,3565,3560,3564,15054
2017-02-21 21:06:00,3565,3565,3560,3562,12538
2017-02-21 21:07:00,3562,3565,3561,3563,10420
2017-02-21 21:08:00,3564,3564,3557,3561,16946
2017-02-21 21:09:00,3561,3564,3560,3563,10142
2017-02-21 21:10:00,3563,3566,3563,3564,8534
2017-02-21 21:11:00,3564,3566,3561,3563,7382
2017-02-21 21:12:00,3563,3566,3562,3566,8354
2017-02-21 21:13:00,3566,3567,3563,3566,7020
2017-02-21 21:14:00,3565,3569,3565,3569,9466
2017-02-21 21:15:00,3568,3573,3568,3569,27820
2017-02-21 21:16:00,3568,3571,3559,3561,21774
2017-02-21 21:17:00,3562,3566,3562,3564,7972
2017-02-21 21:18:00,3564,3567,3564,3566,5636
2017-02-21 21:19:00,3566,3567,3562,3564,5442
2017-02-21 21:20:00,3565,3565,3560,3561,9978
2017-02-21 21:21:00,3561,3563,3558,3561,13174
2017-02-21 21:22:00,3561,3566,3559,3563,9256
2017-02-21 21:23:00,3563,3563,3560,3561,2726
2017-02-21 21:24:00,3562,3562,3561,3561,2738
2017-02-21 21:25:00,3561,3562,3559,3562,5590
2017-02-21 21:26:00,3561,3565,3561,3563,6216
2017-02-21 21:27:00,3563,3564,3562,3563,2430
2017-02-21 21:28:00,3563,3564,3561,3563,4366
2017-02-21 21:29:00,3563,3564,3561,3563,4308
2017-02-21 21:30:00,3562,3563,3561,3561,2260
2017-02-21 21:31:00,3562,3563,3560,3561,3386
2017-02-21 21:32:00,3561,3563,3558,3561,7142
2017-02-21 21:33:00,3561,3562,3560,3562,4700
2017-02-21 21:34:00,3561,3562,3560,3562,3582
2017-02-21 21:35:00,3563,3564,3561,3563,3442
2017-02-21 21:36:00,3562,3562,3558,3560,3908
2017-02-21 21:37:00,3560,3563,3559,3562,4248
2017-02-21 21:38:00,3562,3562,3558,3559,3582
2017-02-21 21:39:00,3558,3563,3556,3562,12676
2017-02-21 21:40:00,3562,3562,3560,3561,2158
2017-02-21 21:41:00,3561,3561,3558,3559,3106
2017-02-21 21:42:00,3559,3559,3552,3558,17950
2017-02-21 21:43:00,3557,3558,3554,3555,5884
2017-02-21 21:44:00,3556,3560,3554,3558,5220
2017-02-21 21:45:00,3558,3561,3558,3558,3770
2017-02-21 21:46:00,3559,3560,3557,3559,3338
2017-02-21 21:47:00,3559,3562,3559,3561,4908
2017-02-21 21:48:00,3561,3564,3561,3563,7408
2017-02-21 21:49:00,3562,3563,3559,3559,7068
2017-02-21 21:50:00,3559,3562,3559,3561,4444
2017-02-21 21:51:00,3561,3562,3559,3561,3404
2017-02-21 21:52:00,3561,3561,3560,3560,1718
2017-02-21 21:53:00,3560,3563,3560,3562,4300
2017-02-21 21:54:00,3563,3563,3560,3560,3712
2017-02-21 21:55:00,3560,3561,3559,3560,2858
2017-02-21 21:56:00,3559,3561,3559,3560,4034
2017-02-21 21:57:00,3560,3564,3560,3564,5566
2017-02-21 21:58:00,3563,3571,3563,3569,26954
2017-02-21 21:59:00,3570,3570,3565,3566,8482
2017-02-21 22:00:00,3566,3570,3566,3568,6532
2017-02-21 22:01:00,3567,3569,3563,3565,7986
2017-02-21 22:02:00,3565,3568,3563,3564,4632
2017-02-21 22:03:00,3566,3566,3560,3561,10462
2017-02-21 22:04:00,3560,3567,3560,3564,5404
2017-02-21 22:05:00,3564,3565,3562,3565,3032
2017-02-21 22:06:00,3565,3566,3563,3565,4352
2017-02-21 22:07:00,3565,3566,3564,3565,1914
2017-02-21 22:08:00,3565,3568,3565,3567,3128
2017-02-21 22:09:00,3566,3567,3565,3566,1778
2017-02-21 22:10:00,3566,3568,3566,3566,2380
2017-02-21 22:11:00,3566,3569,3566,3569,4794
2017-02-21 22:12:00,3568,3572,3567,3571,13314
2017-02-21 22:13:00,3571,3572,3563,3563,9028
2017-02-21 22:14:00,3563,3569,3563,3569,8220
2017-02-21 22:15:00,3569,3569,3566,3567,1840
2017-02-21 22:16:00,3566,3567,3565,3566,1334
2017-02-21 22:17:00,3567,3568,3566,3568,3188
2017-02-21 22:18:00,3568,3569,3566,3568,2754
2017-02-21 22:19:00,3568,3569,3566,3566,3014
2017-02-21 22:20:00,3567,3569,3566,3569,6082
2017-02-21 22:21:00,3568,3572,3568,3570,8572
2017-02-21 22:22:00,3571,3571,3569,3571,7252
2017-02-21 22:23:00,3570,3571,3569,3570,4190
2017-02-21 22:24:00,3570,3570,3568,3569,3306
2017-02-21 22:25:00,3569,3570,3568,3569,2182
2017-02-21 22:26:00,3568,3573,3568,3573,8688
2017-02-21 22:27:00,3574,3575,3570,3571,13468
2017-02-21 22:28:00,3571,3572,3569,3572,4794
2017-02-21 22:29:00,3571,3574,3571,3573,2880
2017-02-21 22:30:00,3572,3573,3569,3570,4480
2017-02-21 22:31:00,3570,3575,3570,3574,6312
2017-02-21 22:32:00,3574,3576,3574,3575,9292
2017-02-21 22:33:00,3575,3575,3571,3573,4210
2017-02-21 22:34:00,3573,3580,3568,3571,40262
2017-02-21 22:35:00,3571,3576,3570,3573,8220
2017-02-21 22:36:00,3573,3575,3570,3572,8290
2017-02-21 22:37:00,3572,3574,3571,3572,1848
2017-02-21 22:38:00,3573,3573,3570,3571,3154
2017-02-21 22:39:00,3571,3574,3571,3572,4002
2017-02-21 22:40:00,3571,3573,3569,3571,5320
2017-02-21 22:41:00,3571,3575,3571,3575,4828
2017-02-21 22:42:00,3574,3575,3572,3572,3270
2017-02-21 22:43:00,3572,3574,3571,3572,2282
2017-02-21 22:44:00,3571,3573,3571,3572,996
2017-02-21 22:45:00,3572,3573,3571,3572,1218
2017-02-21 22:46:00,3573,3574,3571,3572,1272
2017-02-21 22:47:00,3571,3575,3571,3574,2900
2017-02-21 22:48:00,3574,3575,3572,3573,1330
2017-02-21 22:49:00,3572,3573,3571,3572,1090
2017-02-21 22:50:00,3571,3571,3568,3571,6600
2017-02-21 22:51:00,3570,3571,3569,3571,3150
2017-02-21 22:52:00,3570,3575,3570,3574,7714
2017-02-21 22:53:00,3574,3578,3573,3577,7320
2017-02-21 22:54:00,3577,3578,3572,3574,10568
2017-02-21 22:55:00,3574,3580,3573,3579,11694
2017-02-21 22:56:00,3581,3583,3575,3577,16074
2017-02-21 22:57:00,3577,3581,3577,3580,7314
2017-02-21 22:58:00,3580,3582,3578,3580,17286
2017-02-21 22:59:00,3580,3582,3579,3581,12066
2017-02-21 23:00:00,3582,3588,3580,3587,37340
2017-02-21 09:01:00,3605,3606,3601,3606,127830
2017-02-21 09:02:00,3605,3614,3605,3608,43502
2017-02-21 09:03:00,3609,3609,3604,3607,20258
2017-02-21 09:04:00,3609,3612,3607,3610,25338
2017-02-21 09:05:00,3610,3614,3607,3608,23988
2017-02-21 09:06:00,3609,3617,3608,3616,20398
2017-02-21 09:07:00,3615,3620,3613,3620,24476
2017-02-21 09:08:00,3619,3621,3616,3620,26562
2017-02-21 09:09:00,3620,3627,3620,3626,25318
2017-02-21 09:10:00,3627,3628,3620,3623,22042
2017-02-21 09:11:00,3623,3627,3622,3627,14716
2017-02-21 09:12:00,3626,3626,3619,3620,16048
2017-02-21 09:13:00,3619,3622,3617,3620,12820
2017-02-21 09:14:00,3619,3619,3614,3618,14044
2017-02-21 09:15:00,3618,3619,3613,3616,14598
2017-02-21 09:16:00,3616,3620,3616,3620,10546
2017-02-21 09:17:00,3620,3621,3618,3620,12742
